split,R2,RMSE,MAE,Pearson_r
TRAIN,0.8732456785796145,0.4019712355307493,0.24176655989154353,0.9396954851391867
TEST,0.6185038174495624,0.656510285683056,0.4526468054186482,0.7893377467852581
