split,R2,RMSE,MAE,MAPE_%,Pearson_r,Spearman_rho,CCC,CLF_ACC,CLF_Precision,CLF_Recall,CLF_F1,CLF_AUROC,CLF_AUPRC,CLF_Threshold
train,0.9051510477464392,0.3435744617804415,0.2040825418165838,3.2467613821282564,0.9543776203737845,0.9083516282268285,0.9465529908673809,,,,,,,
test,0.7419931205153885,0.5398984485131485,0.366040547150679,5.9304073708644705,0.863352134782858,0.8455837064179794,0.8489674265072208,0.8801369863013698,0.8648068669527897,0.9829268292682927,0.9200913242009132,0.9464816372301654,0.971184544595797,6.0
combined,0.8594890118461385,0.41242613151655627,0.25268658863832666,4.052130990258754,0.9293825344834342,0.8907465431478825,0.9199575096952279,,,,,,,
