component,normalized_eigenvalue
1,0.23249790257586495
2,0.10255775248036307
3,0.09548659851052026
4,0.07062597892636353
5,0.0541943232616463
6,0.039243505713820334
7,0.03548853517157785
8,0.03462625330444442
9,0.025144190315114313
10,0.023622001457103907
11,0.021385753112960593
12,0.019966961190189928
13,0.017451572510925377
14,0.015485642332969712
15,0.014496122679729818
16,0.01352100285704529
17,0.011411476140885331
18,0.010984777616431862
19,0.009970159549840898
20,0.009636286551682074
21,0.009519904007264433
22,0.009222939748898509
23,0.008386287785182318
24,0.007741862022766237
25,0.007497383215082892
26,0.006877946289026569
27,0.006165367743709109
28,0.005909236220692446
29,0.005698114694536606
30,0.005371399888770511
31,0.005279368224139274
32,0.0050736031515120975
33,0.004818528931344739
34,0.004524980584293208
35,0.004100844708253821
36,0.0037559882270681876
37,0.0036133204221224383
38,0.0034857407383780004
39,0.003302290761607339
40,0.003012821074147912
41,0.002782460004569134
42,0.0024667420632151376
43,0.002423080032632435
44,0.0021895890714754163
45,0.002069195366593094
46,0.001796093990454035
47,0.0016669815663635337
48,0.0016178561379361508
49,0.0014856149374116
50,0.0012662951440207326
51,0.001233492106820392
52,0.0012005572051458691
53,0.0010486809350101684
54,0.0009806331537752977
55,0.0008631125364194212
56,0.0008559993001381524
57,0.0007802623684907773
58,0.0006718102343897127
59,0.0005511473427926605
60,0.00034502543932534677
61,0.0002798929159293244
62,0.00016162876932829644
63,6.197496720370286e-05
64,4.714971228319866e-05
65,1.887483786596451e-33
