feature,H_full,H_minus_j
PubchemFP623,3.0072286108407984,3.008597400131794
PubchemFP626,3.0072286108407984,3.01140464813643
PubchemFP632,3.0072286108407984,3.009387041267778
PubchemFP636,3.0072286108407984,3.0081533704480954
PubchemFP637,3.0072286108407984,3.007663391635182
PubchemFP638,3.0072286108407984,3.0029922997288954
PubchemFP639,3.0072286108407984,3.0044188113210333
PubchemFP641,3.0072286108407984,3.0100944496519455
PubchemFP643,3.0072286108407984,3.0035901153665536
PubchemFP644,3.0072286108407984,3.006904613541719
PubchemFP645,3.0072286108407984,3.007295973406886
PubchemFP646,3.0072286108407984,3.006361859918856
PubchemFP651,3.0072286108407984,3.0113859902158873
PubchemFP654,3.0072286108407984,3.010175783534334
PubchemFP655,3.0072286108407984,3.0102422875696293
PubchemFP657,3.0072286108407984,3.010560706511126
PubchemFP659,3.0072286108407984,3.006427389620025
PubchemFP662,3.0072286108407984,3.0050167668476413
PubchemFP663,3.0072286108407984,3.008170578004968
PubchemFP665,3.0072286108407984,3.0096585193616816
PubchemFP666,3.0072286108407984,3.0104110845924414
PubchemFP671,3.0072286108407984,3.008472352218642
PubchemFP672,3.0072286108407984,3.007474763665659
PubchemFP674,3.0072286108407984,3.0111743827262862
PubchemFP680,3.0072286108407984,3.0073774272692884
PubchemFP682,3.0072286108407984,3.0023574668019823
PubchemFP684,3.0072286108407984,3.004161215770605
PubchemFP685,3.0072286108407984,3.003941378737114
PubchemFP689,3.0072286108407984,3.00760060354377
PubchemFP690,3.0072286108407984,3.003481108058862
PubchemFP691,3.0072286108407984,3.004507787131395
PubchemFP692,3.0072286108407984,3.005826557310063
PubchemFP695,3.0072286108407984,3.000908073180963
PubchemFP697,3.0072286108407984,3.0010271549901697
PubchemFP698,3.0072286108407984,3.003081042560374
PubchemFP699,3.0072286108407984,3.0029971622533695
PubchemFP702,3.0072286108407984,3.0044837160596374
PubchemFP704,3.0072286108407984,3.0061393523492543
PubchemFP712,3.0072286108407984,3.0001461878767515
PubchemFP713,3.0072286108407984,3.0025113223355366
PubchemFP734,3.0072286108407984,3.0031177100314226
PubchemFP737,3.0072286108407984,3.0005179712912504
PubchemFP755,3.0072286108407984,3.0058285337408694
PubchemFP776,3.0072286108407984,3.002511322335537
PubchemFP797,3.0072286108407984,3.0030848277938023
PubchemFP798,3.0072286108407984,2.999497683106737
PubchemFP800,3.0072286108407984,3.00051797129125
PubchemFP818,3.0072286108407984,3.005828533740869
